ProductID,ProductName,ProductPrice,ProductColor,ImageUrl,baseUrl
0739239010,Skinny Fit Suit Pants,19.99,"Black, Dark blue","https://lp2.hm.com/hmgoepprod?set=source[/b4/49/b449c5167a1d15175f9d4d727a3be6d10416f6e1.jpg],origin[dam],category[men_trousers_trousers_skinny_all],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]",https://www2.hm.com/en_us/productpage.0739239010.html
0817752001,Skinny Fit Blazer,39.99,Dark blue,"https://lp2.hm.com/hmgoepprod?set=source[/a6/01/a60107ee13fe8f6a255ddd0bb1f0077bffaf29d3.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]",https://www2.hm.com/en_us/productpage.0817752001.html
0891007001,1/4-Zip Polo Shirt,14.99,"Dark blue, Natural white","https://lp2.hm.com/hmgoepprod?set=source[/5d/75/5d75b5c03acae2cd7db7cdb6d7a0fc04642a32d6.jpg],origin[dam],category[men_tshirtstanks_shortsleeve],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]",https://www2.hm.com/en_us/productpage.0891007001.html
0880881002,Checked Shirt Jacket,34.99,"Beige/checked, Black/gray plaid","https://lp2.hm.com/hmgoepprod?set=source[/44/96/449602b3e7107032c6d8d2e22456a42cb2b8c875.jpg],origin[dam],category[men_shirts_longsleeved],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]",https://www2.hm.com/en_us/productpage.0880881002.html
0863753003,Fine-knit Polo Shirt,17.99,"Brown, Dark blue, Sage green, Beige melange","https://lp2.hm.com/hmgoepprod?set=source[/69/66/696653a093978269a6be8a2f0f45efc201baeff9.jpg],origin[dam],category[men_tshirtstanks_shortsleeve],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]",https://www2.hm.com/en_us/productpage.0863753003.html
0863753004,Fine-knit Polo Shirt,17.99,"Brown, Dark blue, Sage green, Beige melange","https://lp2.hm.com/hmgoepprod?set=source[/33/40/334060e070ed6bb5e916bfdea38436d4ca6f31c4.jpg],origin[dam],category[men_tshirtstanks_shortsleeve],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]",https://www2.hm.com/en_us/productpage.0863753004.html
0713995018,Skinny Fit Blazer,69.99,"Dark blue, Black, Light gray melange, Blue melange","https://lp2.hm.com/hmgoepprod?set=source[/4c/7f/4c7f80ea7e4b3f08e30b0e24e350828181c59053.jpg],origin[dam],category[men_blazerssuits_blazers],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]",https://www2.hm.com/en_us/productpage.0713995018.html
0654410027,Polo Shirt,14.99,"Dark blue, Beige melange, White/Monde, Light blue melange","https://lp2.hm.com/hmgoepprod?set=source[/3d/b8/3db846f8a654855806a4365fd768ad0a91703917.jpg],origin[dam],category[MEN_TSHIRTSTANKS_POLO],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]",https://www2.hm.com/en_us/productpage.0654410027.html
0721390001,Slim Fit Twill Pants,19.99,"Khaki green, Black, Dark blue, Dark gray","https://lp2.hm.com/hmgoepprod?set=source[/f7/a5/f7a54badc467f0a8f3beb1a512541f5aeb2f4ea1.jpg],origin[dam],category[men_trousers_trousers_slim_all],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]",https://www2.hm.com/en_us/productpage.0721390001.html
0843614001,Skinny Fit Suit Pants,24.99,"Dark blue/plaid, Black/white plaid, Dark gray/checked","https://lp2.hm.com/hmgoepprod?set=source[/20/29/2029d27c2f2ac5ceb6bda4cae54a888644059672.jpg],origin[dam],category[men_blazerssuits_trousers],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]",https://www2.hm.com/en_us/productpage.0843614001.html
0781758001,Slim Fit Easy-iron Shirt,14.99,"Burgundy/white dotted, White, Black, Light blue","https://lp2.hm.com/hmgoepprod?set=source[/f1/b0/f1b0d0f5c52120ef0555d88fff75459f4e78fcf0.jpg],origin[dam],category[men_shirts_dressed],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]",https://www2.hm.com/en_us/productpage.0781758001.html
0857448002,Slim Fit Chino Shorts,17.99,"Dark khaki green, Light beige, Black, Pale pink","https://lp2.hm.com/hmgoepprod?set=source[/11/b3/11b37481a3814b7d29a5e7e7fea1b725cf18e1d7.jpg],origin[dam],category[men_shorts_chinos],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]",https://www2.hm.com/en_us/productpage.0857448002.html
0656677021,Patterned Resort Shirt,12.99,"Black/pineapples, Dark blue/white striped","https://lp2.hm.com/hmgoepprod?set=source[/2e/3a/2e3aa9fb19995418aac2d843a5c2f8feb1a58d54.jpg],origin[dam],category[men_shirts],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]",https://www2.hm.com/en_us/productpage.0656677021.html
0766402018,Slim Fit Joggers,34.99,"Black, Dark gray melange, Dark beige/plaid, Light gray melange","https://lp2.hm.com/hmgoepprod?set=source[/f1/cf/f1cf46b2348fe90bc8e67ea914812a77187bac10.jpg],origin[dam],category[men_trousers_joggers],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]",https://www2.hm.com/en_us/productpage.0766402018.html
0857448004,Slim Fit Chino Shorts,17.99,"Dark khaki green, Light beige, Black, Pale pink","https://lp2.hm.com/hmgoepprod?set=source[/15/64/1564de7bc7f63bceae4ebbff146019eaa4021b47.jpg],origin[dam],category[men_shorts_chinos],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]",https://www2.hm.com/en_us/productpage.0857448004.html
0857448001,Slim Fit Chino Shorts,17.99,"Dark khaki green, Light beige, Black, Pale pink","https://lp2.hm.com/hmgoepprod?set=source[/2c/fb/2cfb3688ebc40139933618d484b0a1ce3c9855a5.jpg],origin[dam],category[men_shorts_chinos],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]",https://www2.hm.com/en_us/productpage.0857448001.html
0781758003,Slim Fit Easy-iron Shirt,14.99,"Burgundy/white dotted, White, Black, Light blue","https://lp2.hm.com/hmgoepprod?set=source[/42/a9/42a9305472c47650821b0ffedc41828c9cdaf9b5.jpg],origin[dam],category[men_shirts_dressed],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]",https://www2.hm.com/en_us/productpage.0781758003.html
0658329031,Slim Fit Polo Shirt,14.99,"Pink/palm trees, Dark blue/palm trees, White/palm trees, Dark blue/narrow-striped","https://lp2.hm.com/hmgoepprod?set=source[/3c/9f/3c9f79936891c932eb964edf34fe9bea00bbcf68.jpg],origin[dam],category[MEN_TSHIRTSTANKS_POLO],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]",https://www2.hm.com/en_us/productpage.0658329031.html
0725358008,Muscle Fit Piqué Polo Shirt,14.99,"Dark blue, White, Burgundy, Black","https://lp2.hm.com/hmgoepprod?set=source[/82/dc/82dc6f0b21652df3be38e7f5f019a17807b592a3.jpg],origin[dam],category[MEN_TSHIRTSTANKS_POLO],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]",https://www2.hm.com/en_us/productpage.0725358008.html
0658329018,Slim Fit Polo Shirt,14.99,"Pink/palm trees, Dark blue/palm trees, White/palm trees, Dark blue/narrow-striped","https://lp2.hm.com/hmgoepprod?set=source[/c9/94/c99418c591429fd2c3cd99befc2ac44574f31969.jpg],origin[dam],category[MEN_TSHIRTSTANKS_POLO],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]",https://www2.hm.com/en_us/productpage.0658329018.html
0843614002,Skinny Fit Suit Pants,24.99,"Dark blue/plaid, Black/white plaid, Dark gray/checked","https://lp2.hm.com/hmgoepprod?set=source[/a0/ef/a0ef7e4f1d6161e52560a4736678ba5f04af1d75.jpg],origin[dam],category[men_blazerssuits_trousers],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]",https://www2.hm.com/en_us/productpage.0843614002.html
0721390005,Slim Fit Twill Pants,19.99,"Khaki green, Black, Dark blue, Dark gray","https://lp2.hm.com/hmgoepprod?set=source[/63/10/63104256647e9e348dd1e36b24fc643d662ea341.jpg],origin[dam],category[men_trousers_trousers_slim_all],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]",https://www2.hm.com/en_us/productpage.0721390005.html
0649440037,T-shirt with Motif,12.99,"White/leaves, White/Manhattan, Black/reflective, White/cubes","https://lp2.hm.com/hmgoepprod?set=source[/95/21/95215088ae4232124ffe20c73a7a5cd7f684c6a0.jpg],origin[dam],category[men_tshirtstanks_shortsleeve],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]",https://www2.hm.com/en_us/productpage.0649440037.html
0658329019,Slim Fit Polo Shirt,14.99,"Pink/palm trees, Dark blue/palm trees, White/palm trees, Dark blue/narrow-striped","https://lp2.hm.com/hmgoepprod?set=source[/eb/b4/ebb47100fde5fc10bd735b7ad7fffcd898601652.jpg],origin[dam],category[MEN_TSHIRTSTANKS_POLO],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]",https://www2.hm.com/en_us/productpage.0658329019.html
0633162014,T-shirt with Printed Motif,14.99,"Black/orchids, White/flowers","https://lp2.hm.com/hmgoepprod?set=source[/29/c0/29c05258c51f71b088dcc337cdb3c7b41e731e4b.jpg],origin[dam],category[men_tshirtstanks_shortsleeve],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]",https://www2.hm.com/en_us/productpage.0633162014.html
0725358003,Muscle Fit Piqué Polo Shirt,14.99,"Dark blue, White, Burgundy, Black","https://lp2.hm.com/hmgoepprod?set=source[/b1/6c/b16ce45426ead5e65a7c654cb1d150c95b679475.jpg],origin[dam],category[MEN_TSHIRTSTANKS_POLO],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]",https://www2.hm.com/en_us/productpage.0725358003.html
0602673007,Nylon-blend Bomber Jacket,34.99,"Black, Dark khaki green, White, Light brown","https://lp2.hm.com/hmgoepprod?set=source[/b0/b8/b0b83f1a9a34b0bda9814d5f4baafe456545c9c3.jpg],origin[dam],category[men_jacketscoats_bomberjackets],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]",https://www2.hm.com/en_us/productpage.0602673007.html
0835542002,Skinny Fit Suit Pants,34.99,"Light beige, Beige/black plaid","https://lp2.hm.com/hmgoepprod?set=source[/30/f4/30f4ce3fc18c01ad664f4ab37e8192ef352e0530.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]",https://www2.hm.com/en_us/productpage.0835542002.html
0602673015,Nylon-blend Bomber Jacket,34.99,"Black, Dark khaki green, White, Light brown","https://lp2.hm.com/hmgoepprod?set=source[/23/e7/23e7a92675cc21028d8a4f7c846516ff0366c74e.jpg],origin[dam],category[men_jacketscoats_bomberjackets],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]",https://www2.hm.com/en_us/productpage.0602673015.html
0783126001,Biker Jacket,69.99,Black/faux leather,"https://lp2.hm.com/hmgoepprod?set=source[/04/03/0403722809699fe56ddb800058d662e60fa74606.jpg],origin[dam],category[men_jacketscoats_bikerjackets],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]",https://www2.hm.com/en_us/productpage.0783126001.html
0713986001,Slim Fit Blazer,69.99,"Light gray/plaid, Black, Dark blue, Blue melange","https://lp2.hm.com/hmgoepprod?set=source[/c0/49/c049cc6fea848f37c0cb470564e54fa57784e481.jpg],origin[dam],category[men_blazerssuits_blazers],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]",https://www2.hm.com/en_us/productpage.0713986001.html
0781758004,Slim Fit Easy-iron Shirt,14.99,"Burgundy/white dotted, White, Black, Light blue","https://lp2.hm.com/hmgoepprod?set=source[/c3/73/c373127b618851c754d3df4ff30f040ad493aae0.jpg],origin[dam],category[men_shirts_dressed],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]",https://www2.hm.com/en_us/productpage.0781758004.html
0843465003,Skinny Fit Suit Pants,34.99,"Black/gray plaid, Black, Black/checked, Beige/checked","https://lp2.hm.com/hmgoepprod?set=source[/33/b7/33b750662df6c5a8cfd6de93ead1b532c99811f7.jpg],origin[dam],category[men_blazerssuits_trousers],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]",https://www2.hm.com/en_us/productpage.0843465003.html
0783354005,Slim Fit Linen Blazer,79.99,"Blue melange, Light beige, Dark blue","https://lp2.hm.com/hmgoepprod?set=source[/45/cc/45cc15f3900f475e51d1f40afa372180223bfb8f.jpg],origin[dam],category[men_blazerssuits_blazers],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]",https://www2.hm.com/en_us/productpage.0783354005.html
0721390004,Slim Fit Twill Pants,19.99,"Khaki green, Black, Dark blue, Dark gray","https://lp2.hm.com/hmgoepprod?set=source[/62/74/6274471265e5d27d156a3f20c088d2908806ef3d.jpg],origin[dam],category[men_trousers_trousers_slim_all],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]",https://www2.hm.com/en_us/productpage.0721390004.html
0766402014,Slim Fit Joggers,34.99,"Black, Dark gray melange, Dark beige/plaid, Light gray melange","https://lp2.hm.com/hmgoepprod?set=source[/da/49/da498652edb04a8a571a71a892b39960fc4450d9.jpg],origin[dam],category[men_trousers_joggers],type[DESCRIPTIVESTILLLIFE],res[m],hmver[1]&call=url[file:/product/style]",https://www2.hm.com/en_us/productpage.0766402014.html
