web-scraper-order,web-scraper-start-url,name,price,description,image-src
"1585939948-5284","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Long T-shirt","$ 14.99","Dark beige
	
				Black
	
				White
	
				Gray",""
"1585939948-5257","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Patterned Resort Shirt","$ 29.99","Burgundy/patterned",""
"1585939948-5307","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Cotton Chino Shorts","$ 19.99","Dark blue
	
				Khaki green
	
				Beige
	
				Brick red",""
"1585939948-5155","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Slim Fit Short-sleeved Shirt","$ 24.99","White/black dotted
	
				Dark blue/white dotted
	
				Burgundy/white dotted",""
"1585939948-5041","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Printed Sweatshirt","$ 34.99","Light gray melange/Star Wars",""
"1585939948-5277","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Regular Fit Linen-blend Shirt","$ 29.99","White
	
				Black
	
				Light blue
	
				Dark blue",""
"1585939948-5327","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Brushed Cotton Twill Joggers","$ 29.99","Black
	
				Khaki green
	
				Beige
	
				Dark gray",""
"1585939948-5182","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Sweatshorts with Side Stripes","$ 24.99","Light beige/NASA
	
				Black/NASA",""
"1585939948-5407","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Slim Fit Stretch Shirt","$ 39.99","White
	
				Black
	
				Light blue",""
"1585939948-5325","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Premium Cotton Polo Shirt","$ 24.99","Burgundy/patterned
	
				Dark blue/patterned
	
				Natural white/patterned",""
"1585939948-5199","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Regular Fit Oxford Shirt","$ 24.99","Light pink
	
				White
	
				Light blue
	
				Blue",""
"1585939948-5099","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Sweatshirt","$ 14.99","Black
	
				Light gray melange
	
				White
	
				Dark green",""
"1585939948-5015","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Skinny Fit Suit Pants","$ 34.99","Dark blue
	
				Black
	
				Light gray melange
	
				Blue melange","//lp2.hm.com/hmgoepprod?set=source[/a7/00/a70067aeeba475c009e55cacd7f1b902adadd314.jpg],origin[dam],category[men_trousers_dressed],type[LOOKBOOK],res[z],hmver[1]&call=url[file:/product/main]"
"1585939948-5361","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Muscle Fit Sweatshirt Cardigan","$ 34.99","Black",""
"1585939948-5261","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Cotton Chinos","$ 17.99","Dark blue
	
				Beige
	
				Black",""
"1585939948-5299","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Cotton T-shirt","$ 14.99","Light blue
	
				Beige",""
"1585939948-5323","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Long Fit T-shirt","$ 12.99","Black
	
				Gray melange",""
"1585939948-5216","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Regular Fit Cotton Shirt","$ 24.99","Green/checked
	
				Khaki green/checked
	
				Blue/checked
	
				Red/checked",""
"1585939948-5065","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Linen-blend Joggers","$ 24.99","Black
	
				Khaki green
	
				Dark blue",""
"1585939948-5002","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Joggers","$ 29.99","Black
	
				Gray melange
	
				Dark gray melange","//lp2.hm.com/hmgoepprod?set=source[/f6/dd/f6dd14e627fe3f02e3eb4c273c2cf0572be9783e.jpg],origin[dam],category[men_trousers_joggers],type[LOOKBOOK],res[z],hmver[1]&call=url[file:/product/main]"
"1585939948-5440","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Slim Fit Joggers","$ 34.99","White/black checked
	
				Black
	
				Dark gray/pinstriped",""
"1585939948-5301","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Regular Fit Shirt","$ 24.99","Dark gray/dark blue checked
	
				Red/plaid
	
				Beige/plaid
	
				Blue/plaid",""
"1585939948-5405","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Slim Fit Linen Shirt","$ 39.99","White
	
				Light blue
	
				Dark blue melange
	
				Black",""
"1585939948-5028","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Slim Fit Joggers","$ 34.99","Black
	
				Dark gray melange
	
				Dark beige/plaid
	
				Light gray melange",""
"1585939948-5078","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=casual&image-size=small&image=model&offset=0&page-size=526","Printed Denim Jacket","$ 59.99","Black/Post Malone
	
				Light denim blue/MTV",""
