web-scraper-order,web-scraper-start-url,name,price,description,image-src
"1585940560-5462","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=formal&image-size=small&image=model&offset=0&page-size=72","Super Skinny Fit Suit Pants","$ 34.99","Dark blue",""
"1585940560-5475","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=formal&image-size=small&image=model&offset=0&page-size=72","Slim Fit Wool Blazer","$ 199.00","Black
	
				Dark blue
	
				Light gray melange","//lp2.hm.com/hmgoepprod?set=source[/39/c0/39c06afce024f535b0b82a75ac7aac25f68b1b4e.jpg],origin[dam],category[men_blazerssuits_blazers],type[DESCRIPTIVESTILLLIFE],res[z],hmver[1]&call=url[file:/product/main]"
"1585940560-5484","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=formal&image-size=small&image=model&offset=0&page-size=72","Slim Fit Suit Pants","$ 49.99","Dark blue","//lp2.hm.com/hmgoepprod?set=source[/99/40/9940a321073d01a460c8a7deec88cea1b426f8d5.jpg],origin[dam],category[men_blazerssuits_trousers],type[LOOKBOOK],res[z],hmver[1]&call=url[file:/product/main]"
"1585940560-5458","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=formal&image-size=small&image=model&offset=0&page-size=72","Slim Fit Suit Vest","$ 24.99","Light blue melange
	
				Black
	
				Dark blue
	
				Black/white checked",""
"1585940560-5476","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=formal&image-size=small&image=model&offset=0&page-size=72","Slim Fit Wool Suit Pants","$ 69.99","Gray melange
	
				Black
	
				Dark blue","//lp2.hm.com/hmgoepprod?set=source[/6e/cc/6ecc6d1849c66ff24eaf35022e7574ef17a6d4a5.jpg],origin[dam],category[men_blazerssuits_trousers],type[LOOKBOOK],res[z],hmver[1]&call=url[file:/product/main]"
"1585940560-5449","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=formal&image-size=small&image=model&offset=0&page-size=72","Slim Fit Suit Pants","$ 34.99","Light gray melange",""
"1585940560-5467","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=formal&image-size=small&image=model&offset=0&page-size=72","Slim Fit Suit Vest","$ 24.99","Light blue melange
	
				Black
	
				Dark blue
	
				Black/white checked",""
"1585940560-5453","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=formal&image-size=small&image=model&offset=0&page-size=72","Slim Fit Linen-blend Blazer","$ 99.00","Cream",""
"1585940560-5474","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=formal&image-size=small&image=model&offset=0&page-size=72","Slim Fit Wool Blazer","$ 199.00","Gray melange
	
				Black
	
				Dark blue","//lp2.hm.com/hmgoepprod?set=source[/67/04/670431f87dbec6c143ce74b98a8183efbdcaa601.jpg],origin[dam],category[men_blazerssuits_blazers],type[LOOKBOOK],res[z],hmver[1]&call=url[file:/product/main]"
"1585940560-5478","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=formal&image-size=small&image=model&offset=0&page-size=72","Slim Fit Wool Blazer","$ 199.00","Black
	
				Dark blue
	
				Light gray melange","//lp2.hm.com/hmgoepprod?set=source[/0b/58/0b58f96af339683c4ed95e514b29ceef01179329.jpg],origin[dam],category[men_blazerssuits_blazers],type[DESCRIPTIVESTILLLIFE],res[z],hmver[1]&call=url[file:/product/main]"
"1585940560-5465","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=formal&image-size=small&image=model&offset=0&page-size=72","2-pack Easy-iron Shirts","$ 34.99","White
	
				Black",""
"1585940560-5464","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=formal&image-size=small&image=model&offset=0&page-size=72","Slim Fit Suit Pants","$ 59.99","Cream",""
"1585940560-5463","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=formal&image-size=small&image=model&offset=0&page-size=72","Super Skinny Fit Blazer","$ 69.99","Dark blue",""
"1585940560-5452","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=formal&image-size=small&image=model&offset=0&page-size=72","2-pack Easy-iron Shirts","$ 34.99","White
	
				Black",""
"1585940560-5451","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=formal&image-size=small&image=model&offset=0&page-size=72","Slim Fit Blazer","$ 79.99","Light blue/small-checked
	
				Dark blue",""
"1585940560-5460","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=formal&image-size=small&image=model&offset=0&page-size=72","Skinny Fit Suit Pants","$ 34.99","Dark blue",""
"1585940560-5472","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=formal&image-size=small&image=model&offset=0&page-size=72","Skinny Fit Wool Tuxedo Jacket","$ 199.00","Black","//lp2.hm.com/hmgoepprod?set=source[/ca/08/ca0808f08b3d7bc16141cc35f88b44574c3e20a5.jpg],origin[dam],category[],type[LOOKBOOK],res[z],hmver[1]&call=url[file:/product/main]"
"1585940560-5459","https://www2.hm.com/en_us/men/products/view-all.html?sort=stock&sizes=302_s_3_menswear&contexts=formal&image-size=small&image=model&offset=0&page-size=72","Premium Cotton Poplin Shirt","$ 39.99","Light blue
	
				White",""
